loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844487.077759,116,0,2587.337552125,-0.0936126708984375,-0.3288421630859375,-0.4615325927734375,,,,,0
1537844487.106791,117,0,2587.347370125,-0.0833892822265625,-0.3287353515625,-0.444732666015625,2587.339734125,0.1297497409408785,0.2625666445092013,-0.5429663483097911,0
1537844487.144223,118,0,2587.357176125,-0.0588836669921875,-0.32623291015625,-0.4324798583984375,2587.359746125,-0.2753042776869413,0.5040274710634155,-0.3805875576932618,0
1537844487.17726,119,0,2587.366975125,-0.0398101806640625,-0.3255767822265625,-0.430206298828125,,,,,0
1537844487.192553,120,0,2587.376781125,-0.0113372802734375,-0.3392791748046875,-0.446258544921875,2587.369754125,-0.5234794659814633,0.6307284251883714,-0.226393460054873,0
1537844487.264994,121,0,2587.386584125,0.0100860595703125,-0.355926513671875,-0.4839935302734375,2587.389767125,-0.9828752866523499,0.8465017314482264,0.02831712555470353,0
1537844487.271446,122,0,2587.396380125,0.0312652587890625,-0.3622283935546875,-0.528839111328125,,,,,0
1537844487.31176,123,0,2587.406187125,0.04144287109375,-0.3577117919921875,-0.5719451904296875,2587.399777125,-1.168092814145181,0.9765675896104973,0.08617350128834796,0
1537844487.358918,124,0,2587.415972125,0.0470123291015625,-0.344635009765625,-0.6077728271484375,2587.419787125,-1.300203181076306,1.038143868754764,0.0811603668523828,0
1537844487.378276,125,0,2587.425768125,0.0524139404296875,-0.32281494140625,-0.6402435302734375,,,,,0
1537844487.410047,126,0,2587.435593125,0.0563812255859375,-0.2982635498046875,-0.668365478515625,2587.429772125,-1.240436519892747,0.8677481643087694,0.01379703865937351,0
1537844487.477893,127,0,2587.445391125,0.0693817138671875,-0.2609100341796875,-0.67938232421875,2587.449809125,-1.089896545586056,0.2898347509105226,-0.1763665116099525,0
1537844487.501826,128,0,2587.455195125,0.0884857177734375,-0.2362823486328125,-0.6795806884765625,,,,,0
1537844487.508648,129,0,2587.464997125,0.1344146728515625,-0.2273712158203125,-0.671966552734375,2587.459802125,-1.117190218333842,0.1952794827233682,-0.1919183071115792,0
1537844487.579129,130,0,2587.474779125,0.17974853515625,-0.2414398193359375,-0.6685638427734375,2587.479829125,-1.466920793740792,0.8358637344739048,-0.007463775271056073,0
1537844487.580532,131,0,2587.484576125,0.234344482421875,-0.2452239990234375,-0.689697265625,,,,,0
1537844487.608967,132,0,2587.494390125,0.294586181640625,-0.2348175048828125,-0.78411865234375,2587.489832125,-1.677035149000337,1.434961795395405,0.1744716724943611,0
1537844487.671291,133,0,2587.504200125,0.3361053466796875,-0.2404632568359375,-0.94024658203125,2587.509850125,-1.897451143988528,2.294263744306988,0.6260425932503769,0
1537844487.67819,134,0,2587.513985125,0.3618011474609375,-0.2551727294921875,-1.172332763671875,,,,,0
1537844487.679179,135,0,2587.523783125,0.3886871337890625,-0.22955322265625,-1.453369140625,2587.519858125,-1.96832212165328,2.334664696991817,0.7518037178266438,0
